NIDID,Dam_Name,Insp_Date,Submit_Date,River,City_02,County,State,Cong_Dist,Cong_Rep,Party,Owner_Type,Owner_Name,Year_Comp,Year_Mod,Private_Dam,NPDP_Hazard,Permit_Auth,Insp_Auth,Enfrc_Auth,Juris_Dam,NID_Height,NID_Storage,Dam_Length,Max_Discharge,Drain_Area,Dam_Designer,EAP,Insp_Freq,St_Reg_Dam,St_Reg_Agncy,Volume,Fed_Fund,Fed_Design,Fed_Con,Fed_Reg,Fed_Insp,Srce_Agncy,Oth_StrucID,Num_Struc,Longitude,Latitude
VA16104,CLIFFORD D. CRAIG MEMORIAL DAM,2007-09-06,2013-03-12,TRIB. TO ROANOKE RIVER,SALEM,ROANOKE CO,VA,VA09,H. MORGAN GRIFFITH (R),R,LOCAL GOVERNMENT,WESTERN VIRGINIA WATER AUTHORITY,1994,,N,HIGH,Y,Y,Y,Y,240.5,11410,976,,0.8,"HSMM, INC.",Y,0,Y,DCR,,,,,,,VA,,0,-80.175,37.225
VA07915,GREENE MOUNTAIN LAKE DAM,2008-07-14,2013-03-12,BLUE RUN,ADVANCE MILLS,GREENE,VA,VA05,ROBERT HURT (R),R,PRIVATE,NATHANIEL GREENE DEVELOPMENT COMPANY,1969,,N,SIGNIFICANT,Y,Y,Y,Y,33,1408,450,,7,LARRY E. LAMB,Y,0,Y,DCR,,,,,,,VA,,0,-78.4366,38.27
VA06906,LEHMANS DAM,,2013-03-12,GOUGH RUN,MARLBORO,FREDERICK,VA,VA10,FRANK R. WOLF (R),R,PRIVATE,SAMUEL G. LEHMAN,1971,,N,LOW,Y,Y,Y,Y,24,144,240,,,SAMUEL G. LEHMAN,NR,0,Y,DCR,,,,,,,VA,,0,-78.3083,39.1516
VA13905,LURAY,2010-12-22,2013-02-28,SOUTH FORK SHENANDOAH RIVER,RILEYVILLE,PAGE,VA,VA06,BOB GOODLATTE (R),R,PUBLIC UTILITY,POTOMAC EDISON CO,1927,1986S,N,LOW,N,N,N,N,21.89,880,669,,1383,,NR,3,N,DCR,,,,,FERC,FERC,FERC,,1,-78.4999,38.6774
VA06106,MATHEWS DAM,,2013-03-12,TR-GAP RUN,RECTORTOWN,FAUQUIER,VA,VA05,ROBERT HURT (R),R,PRIVATE,JAMES MATHEWS,1970,,N,SIGNIFICANT,Y,Y,Y,Y,20,90,800,,,,N,0,Y,DCR,,,,,,,VA,,0,-77.96,38.98
VA05302,STEERS DAM,,2013-03-12,HATCHER RUN,CARSON,DINWIDDIE,VA,VA04,J. RANDY FORBES (R),R,PRIVATE,"H. LANDER-ALLEN, JR.",1923,,N,SIGNIFICANT,Y,Y,Y,Y,18,253,,,0.6,,N,0,Y,DCR,,,,,,,VA,,0,-77.4883,37.13
VA05702,TALIAFERRO MILL DAM,,2013-03-12,OCCUPACIA CREEK,BAIRD LANDING,ESSEX,VA,VA01,ROBERT J. WITTMAN (R),R,PRIVATE,D. C. TALIAFERRO ESTATE,1935,,N,LOW,Y,Y,Y,Y,12,181,,,,,NR,0,Y,DCR,,,,,,,VA,,0,-77.055,38.0266
VA02901,WILLIS RIVER DAM #1A,2011-11-09,2013-03-12,WILLIS RIVER,CURDSVILLE,BUCKINGHAM,VA,VA05,ROBERT HURT (R),R,LOCAL GOVERNMENT,PETER FRANCISCO SWCD,1975,,N,LOW,Y,Y,Y,Y,41.7,3183,390,3870,9.77,USDA NRCS,Y,0,Y,DCR,35040,USDA NRCS,USDA NRCS,USDA NRCS,,,VA,,0,-78.545,37.44
VA02904,WILLIS RIVER DAM #4,2011-11-15,2013-03-12,CATTAIL CREEK,CA IRA,BUCKINGHAM,VA,VA05,ROBERT HURT (R),R,LOCAL GOVERNMENT,PETER FRANCISCO SWCD,1973,,N,LOW,Y,Y,Y,Y,43.6,1102,517,3966,3.81,USDA NRCS,Y,0,Y,DCR,47350,USDA NRCS,USDA NRCS,USDA NRCS,,,VA,,0,-78.4166,37.44
VA83002,BATH COUNTY P S LOWER SEDIMENT DAM,2012-05-09,2013-02-28,LITTLE BACK CREEK,MOUNTAIN GROVE,BATH,VA,VA06,BOB GOODLATTE (R),R,PUBLIC UTILITY,VIRGINIA ELECTRIC AND POWER COMPANY,1984,,N,HIGH,N,N,N,N,27,68.87,275,0,2.7,,Y,3,N,,0,,,,FERC,FERC,FERC,,1,-79.8343,38.2157
